,Address,CSDNAME
0,"london ,ON, Canada",London
1,"sarnia ,ON, Canada",Sarnia
2,"woodstock ,ON, Canada",Woodstock
3,"flesherton ,ON, Canada",Grey Highlands
4,"woodbridge ,ON, Canada",Vaughan
5,"mitchell ,ON, Canada",West Perth
6,"strathroy ,ON, Canada",Strathroy-Caradoc
7,"middlesex ,ON, Canada",Thames Centre
8,"alliston ,ON, Canada",New Tecumseth
9,"burks falls ,ON, Canada",Burk's Falls
10,"amherstburg ,ON, Canada",Amherstburg
11,"ancaster ,ON, Canada",Hamilton
12,"ancaster ,ON, Canada",Hamilton
13,"toronto ,ON, Canada",Toronto
14,"arnprior ,ON, Canada",Arnprior
15,"arthur ,ON, Canada",Wellington North
16,"atikokan ,ON, Canada",Atikokan
17,"aurora ,ON, Canada",Aurora
18,"aylmer ,ON, Canada",Aylmer
19,"ayr ,ON, Canada",North Dumfries
20,"bancroft ,ON, Canada",Bancroft
21,"barrhaven ,ON, Canada",Ottawa
22,"barrie ,ON, Canada",Barrie
23,"barry's bay ,ON, Canada",Madawaska Valley
24,"east york ,ON, Canada",Toronto
25,"parry sound ,ON, Canada",Whitestone
26,"oakville ,ON, Canada",Oakville
27,"belleville ,ON, Canada",Belleville
28,"quinte ,ON, Canada",Belleville
29,"mount forest ,ON, Canada",Wellington North
30,"blenheim ,ON, Canada",Chatham-Kent
31,"blue mountains ,ON, Canada",The Blue Mountains
32,"blyth ,ON, Canada",North Huron
33,"brussels ,ON, Canada",Huron East
34,"bracebridge ,ON, Canada",Bracebridge
35,"bradford ,ON, Canada",Bradford West Gwillimbury
36,"bradford west gwillimbury ,ON, Canada",Bradford West Gwillimbury
37,"brampton ,ON, Canada",Brampton
38,"brantford ,ON, Canada",Brantford
39,"brighton ,ON, Canada",Brighton
40,"warkworth ,ON, Canada",Trent Hills
41,"campbellford ,ON, Canada",Trent Hills
42,"brock ,ON, Canada",Brock
43,"brockville ,ON, Canada",Brockville
44,"tobermory ,ON, Canada",Northern Bruce Peninsula
45,"burford ,ON, Canada",Brant
46,"burlington ,ON, Canada",Burlington
47,"caledon ,ON, Canada",Caledon
48,"cambridge ,ON, Canada",Cambridge
49,"northwest ,ON, Canada",Northeastern Manitoulin and the Islands
50,"milton ,ON, Canada",Milton
51,"kawartha lakes ,ON, Canada",Kawartha Lakes
52,"north durham ,ON, Canada",Ajax
53,"almonte ,ON, Canada",Mississippi Mills
54,"carleton place ,ON, Canada",Carleton Place
55,"stirling ,ON, Canada",Stirling-Rawdon
56,"northeast ,ON, Canada",Greater Sudbury / Grand Sudbury
57,"cfb borden ,ON, Canada",Adjala-Tosorontio
58,"cfb petawawa ,ON, Canada",Petawawa
59,"cfb trenton ,ON, Canada",Quinte West
60,"chapleau ,ON, Canada",Chapleau
61,"chatham ,ON, Canada",Chatham-Kent
62,"chesterville ,ON, Canada",North Dundas
63,"west elgin ,ON, Canada",West Elgin
64,"clarington ,ON, Canada",Clarington
65,"clinton ,ON, Canada",Central Huron
66,"cochrane ,ON, Canada","Cochrane, Unorganized, North Part"
67,"collingwood ,ON, Canada",Collingwood
68,"drayton ,ON, Canada",Mapleton
69,"cornwall ,ON, Canada",Cornwall
70,"haliburton ,ON, Canada",Dysart et al
71,"wallaceburg ,ON, Canada",Chatham-Kent
72,"creemore ,ON, Canada",Clearview
73,"deep river ,ON, Canada",Deep River
74,"delhi ,ON, Canada",Norfolk County
75,"dorchester ,ON, Canada",Thames Centre
76,"ignace ,ON, Canada",Ignace
77,"dryden ,ON, Canada",Dryden
78,"red lake ,ON, Canada",Red Lake
79,"dundalk ,ON, Canada",Southgate
80,"dundas ,ON, Canada",Hamilton
81,"dundas ,ON, Canada",Hamilton
82,"east gwillimbury ,ON, Canada",East Gwillimbury
83,"markham ,ON, Canada",Markham
84,"eganville ,ON, Canada",Bonnechere Valley
85,"elliot lake ,ON, Canada",Elliot Lake
86,"elmira ,ON, Canada",Woolwich
87,"woolwich ,ON, Canada",Woolwich
88,"elmvale ,ON, Canada",Springwater
89,"ottawa ,ON, Canada",Ottawa
90,"embrun ,ON, Canada",Russell
91,"iroquois falls ,ON, Canada",Iroquois Falls
92,"newmarket ,ON, Canada",Newmarket
93,"erin ,ON, Canada",Erin
94,"espanola ,ON, Canada",Espanola
95,"etobicoke ,ON, Canada",Toronto
96,"exeter ,ON, Canada",South Huron
97,"fergus ,ON, Canada",Centre Wellington
98,"elora ,ON, Canada",Centre Wellington
99,"waterdown ,ON, Canada",Hamilton
100,"waterdown ,ON, Canada",Hamilton
101,"fonthill ,ON, Canada",Pelham
102,"forest ,ON, Canada",Lambton Shores
103,"fort erie ,ON, Canada",Fort Erie
104,"fort frances ,ON, Canada",Fort Frances
105,"frontenac ,ON, Canada",South Frontenac
106,"gananoque ,ON, Canada",Gananoque
107,"nipigon ,ON, Canada",Nipigon
108,"red rock ,ON, Canada",Red Rock
109,"norwich ,ON, Canada",Norwich
110,"tavistock ,ON, Canada",East Zorra-Tavistock
111,"parkhill ,ON, Canada",North Middlesex
112,"glencoe ,ON, Canada",Southwest Middlesex
113,"georgetown ,ON, Canada",Halton Hills
114,"acton ,ON, Canada",Halton Hills
115,"keswick ,ON, Canada",Georgina
116,"glanbrook ,ON, Canada",Hamilton
117,"glanbrook ,ON, Canada",Hamilton
118,"alexandria ,ON, Canada",North Glengarry
119,"goderich ,ON, Canada",Goderich
120,"penetanguishene ,ON, Canada",Penetanguishene
121,"haldimand ,ON, Canada",Haldimand County
122,"gravenhurst ,ON, Canada",Gravenhurst
123,"hanover ,ON, Canada",Hanover
124,"grimsby ,ON, Canada",Grimsby
125,"lincoln ,ON, Canada",Lincoln
126,"cfsu ottawa ,ON, Canada",Ottawa
127,"guelph ,ON, Canada",Guelph
128,"watford ,ON, Canada",Warwick
129,"hagersville ,ON, Canada",Haldimand County
130,"cayuga ,ON, Canada",Haldimand County
131,"hamilton ,ON, Canada",Hamilton
132,"hamilton ,ON, Canada",Hamilton
133,"thamesville ,ON, Canada",Chatham-Kent
134,"wilberforce ,ON, Canada",Highlands East
135,"kapuskasing ,ON, Canada",Kapuskasing
136,"huntsville ,ON, Canada",Huntsville
137,"seaforth ,ON, Canada",Huron East
138,"port colborne ,ON, Canada",Port Colborne
139,"st. marys ,ON, Canada",St. Marys
140,"ridgetown ,ON, Canada",Chatham-Kent
141,"tillsonburg ,ON, Canada",Tillsonburg
142,"ingersoll ,ON, Canada",Ingersoll
143,"innisfil ,ON, Canada",Innisfil
144,"hornepayne ,ON, Canada",Hornepayne
145,"wheatley ,ON, Canada",Chatham-Kent
146,"kanata ,ON, Canada",Ottawa
147,"kemptville ,ON, Canada",North Grenville
148,"kenora ,ON, Canada","Kenora, Unorganized"
149,"kincardine ,ON, Canada",Kincardine
150,"king township ,ON, Canada",King
151,"king ,ON, Canada",Toronto
152,"kingston ,ON, Canada",Kingston
153,"kingsville ,ON, Canada",Kingsville
154,"kitchener ,ON, Canada",Kitchener
155,"port stanley ,ON, Canada",Central Elgin
156,"lakefield ,ON, Canada",Selwyn
157,"grand bend ,ON, Canada",Lambton Shores
158,"zurich ,ON, Canada",Bluewater
159,"belle river ,ON, Canada",Lakeshore
160,"lambton-middlesex ,ON, Canada",Southwest Middlesex
161,"lasalle ,ON, Canada",LaSalle
162,"hawkesbury ,ON, Canada",Hawkesbury
163,"hearst ,ON, Canada",Hearst
164,"sudbury ,ON, Canada",Greater Sudbury / Grand Sudbury
165,"dresden ,ON, Canada",Chatham-Kent
166,"bothwell ,ON, Canada",Chatham-Kent
167,"leamington ,ON, Canada",Leamington
168,"listowel ,ON, Canada",North Perth
169,"geraldton ,ON, Canada",Greenstone
170,"lucknow ,ON, Canada",Huron-Kinloss
171,"manitoulin island ,ON, Canada",Central Manitoulin
172,"gore bay ,ON, Canada",Gore Bay
173,"manitouwadge ,ON, Canada",Manitouwadge
174,"manotick ,ON, Canada",Ottawa
175,"stratford ,ON, Canada",Stratford
176,"mattawa ,ON, Canada",Mattawa
177,"meaford ,ON, Canada",Meaford
178,"marathon ,ON, Canada",Marathon
179,"lucan ,ON, Canada",Lucan Biddulph
180,"ailsa craig ,ON, Canada",North Middlesex
181,"ilderton ,ON, Canada",Middlesex Centre
182,"midland ,ON, Canada",Midland
183," penetanguishene ,ON, Canada",Penetanguishene
184,"millbrook ,ON, Canada",Cavan Monaghan
185,"minden ,ON, Canada",Minden Hills
186,"harriston ,ON, Canada",Minto
187,"mississauga ,ON, Canada",Mississauga
188,"morrisburg ,ON, Canada",South Dundas
189,"muskoka ,ON, Canada",Bracebridge
190,"napanee ,ON, Canada",Greater Napanee
191,"lennox ,ON, Canada",Stone Mills
192,"addington ,ON, Canada","Brudenell, Lyndoch and Raglan"
193,"nepean ,ON, Canada",Ottawa
194,"new hamburg ,ON, Canada",Wilmot
195,"beeton ,ON, Canada",New Tecumseth
196,"new tecumseth ,ON, Canada",New Tecumseth
197,"terrace bay ,ON, Canada",Terrace Bay
198,"schreiber ,ON, Canada",Schreiber
199,"ajax ,ON, Canada",Ajax
200,"pickering ,ON, Canada",Pickering
201,"west lincoln ,ON, Canada",West Lincoln
202,"niagara on the lake ,ON, Canada",Niagara-on-the-Lake
203,"thorold ,ON, Canada",Thorold
204,"niagara ,ON, Canada",Pelham
205,"north bay ,ON, Canada",North Bay
206,"norfolk ,ON, Canada",Norfolk County
207,"oxford mills ,ON, Canada",North Grenville
208,"north grenville ,ON, Canada",North Grenville
209,"thessalon ,ON, Canada",Thessalon
210,"north york ,ON, Canada",Toronto
211,"kirkland lake ,ON, Canada",Kirkland Lake
212,"cobourg ,ON, Canada",Cobourg
213,"port hope ,ON, Canada",Port Hope
214,"colborne ,ON, Canada",Cramahe
215,"northumberland ,ON, Canada",Alnwick/Haldimand
216,"timmins ,ON, Canada",Timmins
217,"orangeville ,ON, Canada",Orangeville
218,"orillia ,ON, Canada",Orillia
219,"orleans ,ON, Canada",Ottawa
220,"orono ,ON, Canada",Clarington
221,"oshawa ,ON, Canada",Oshawa
222,"paris ,ON, Canada",Brant
223,"pembroke ,ON, Canada",Pembroke
224,"perth ,ON, Canada",Perth East
225,"petawawa ,ON, Canada",Petawawa
226,"peterborough ,ON, Canada",Peterborough
227,"petrolia ,ON, Canada",Petrolia
228,"picton ,ON, Canada",Prince Edward County
229,"prince edward ,ON, Canada",Prince Edward County
230,"port dover ,ON, Canada",Norfolk County
231,"port perry ,ON, Canada",Scugog
232,"prescott ,ON, Canada",Prescott
233,"quinte west ,ON, Canada",Quinte West
234,"rainy river ,ON, Canada","Rainy River, Unorganized"
235,"windsor ,ON, Canada",Windsor
236,"renfrew ,ON, Canada",Laurentian Valley
237,"westport ,ON, Canada",Westport
238,"richmond hill ,ON, Canada",Richmond Hill
239,"thornhill ,ON, Canada",Vaughan
240,"rockland ,ON, Canada",Clarence-Rockland
241,"russell ,ON, Canada",Russell
242,"welland ,ON, Canada",Welland
243,"caledonia ,ON, Canada",Toronto
244,"sault ste. marie ,ON, Canada",Sault Ste. Marie
245,"scarborough ,ON, Canada",Toronto
246,"shelburne ,ON, Canada",Shelburne
247,"port elgin ,ON, Canada",Saugeen Shores
248,"tecumseh ,ON, Canada",Tecumseh
249,"st. clair beach ,ON, Canada",Tecumseh
250,"simcoe ,ON, Canada",Springwater
251,"sioux lookout ,ON, Canada",Sioux Lookout
252,"smiths falls ,ON, Canada",Smiths Falls
253,"1000 islands ,ON, Canada",Leeds and the Thousand Islands
254,"dufferin  ,ON, Canada",Amaranth
255,"georgina ,ON, Canada",Georgina
256,"haldimand-norfolk ,ON, Canada",Norfolk County
257,"waterloo ,ON, Canada",Waterloo
258,"niagara falls ,ON, Canada",Niagara Falls
259,"northumberland west ,ON, Canada",Quinte West
260,"south simcoe ,ON, Canada",Christian Island 30
261,"st. catharines ,ON, Canada",St. Catharines
262,"st. lawrence ,ON, Canada",Toronto
263,"stouffville ,ON, Canada",Whitchurch-Stouffville
264,"uxbridge ,ON, Canada",Uxbridge
265,"vaughan ,ON, Canada",Vaughan
266,"whitby ,ON, Canada",Whitby
267,"st. thomas ,ON, Canada",St. Thomas
268,"elgin ,ON, Canada",Southwold
269,"stayner ,ON, Canada",Clearview
270,"stittsville ,ON, Canada",Ottawa
271,"stoney creek ,ON, Canada",Hamilton
272,"stoney creek ,ON, Canada",Hamilton
273,"new liskeard ,ON, Canada",Temiskaming Shores
274,"wawa ,ON, Canada",Wawa
275,"wasaga ,ON, Canada",Wasaga Beach
276,"sharbot lake ,ON, Canada",Central Frontenac
277,"harrow ,ON, Canada",Essex
278,"lambton ,ON, Canada",Sarnia 45
279,"bobcaygeon ,ON, Canada",Kawartha Lakes
280,"lanark highlands ,ON, Canada",Lanark Highlands
281,"lanark ,ON, Canada",Lanark Highlands
282,"canada ,ON, Canada",Ottawa
283,"lindsay ,ON, Canada",Kawartha Lakes
284,"clarence-rockland ,ON, Canada",Clarence-Rockland
285,"vankleek hill ,ON, Canada",Champlain
286,"cfb north bay ,ON, Canada",North Bay
287,"tweed ,ON, Canada",Tweed
288,"walkerton ,ON, Canada",Brockton
289,"wiarton ,ON, Canada",South Bruce Peninsula
290,"thunder bay ,ON, Canada","Thunder Bay, Unorganized"
291,"tilbury ,ON, Canada",Chatham-Kent
292,"mildmay ,ON, Canada",South Bruce
293,"trenton ,ON, Canada",Quinte West
294,"west nipissing ,ON, Canada",West Nipissing / Nipissing Ouest
295,"ohsweken ,ON, Canada",Six Nations
296,"ohsweken ,ON, Canada",Six Nations
297,"six nations ,ON, Canada",Six Nations
298,"six nations ,ON, Canada",Six Nations
299,"pelham ,ON, Canada",Pelham
300,"wellington ,ON, Canada",Centre Wellington
301,"west carleton ,ON, Canada",Ottawa
302,"winchester ,ON, Canada",North Dundas
303,"wingham ,ON, Canada",North Huron
304,"york ,ON, Canada",Aurora
