,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2543,"niagara ,ON, Canada",-79.3098089,43.0631891,3526028,Pelham,T,35,Ontario,3526,Niagara,RM,3526028,Pelham,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2383,"north bay ,ON, Canada",-79.4607617,46.3092115,3548044,North Bay,CY,35,Ontario,3548,Nipissing,DIS,3548094,"Nipissing, Unorganized, North Part",3590,Northeast / Nord-est,575,2,575,35575,North Bay,K
2547,"norfolk ,ON, Canada",-80.4538365,42.7971532,3528052,Norfolk County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547,35547,Norfolk,D
2165,"oxford mills ,ON, Canada",-75.6781618,44.9654376,3507065,North Grenville,MU,35,Ontario,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2165,"north grenville ,ON, Canada",-75.64483041,44.98584265,3507065,North Grenville,MU,35,Ontario,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2585,"thessalon ,ON, Canada",-83.5483478,46.2638311,3557028,Thessalon,T,35,Ontario,3557,Algoma,DIS,3557035,Huron Shores,3590,Northeast / Nord-est,997,5,,,,
1829,"north york ,ON, Canada",-79.44911697,43.7543263,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2452,"kirkland lake ,ON, Canada",-80.031281,48.154177,3554068,Kirkland Lake,T,35,Ontario,3554,Timiskaming,DIS,3554094,"Timiskaming, Unorganized, West Part",3590,Northeast / Nord-est,998,6,,,,
2201,"cobourg ,ON, Canada",-78.1677784,43.9595998,3514021,Cobourg,T,35,Ontario,3514,Northumberland,CTY,3514019,Hamilton,3520,Muskoka--Kawarthas,527,3,527,35527,Cobourg,D
2218,"port hope ,ON, Canada",-78.2939704,43.9515755,3514020,Port Hope,MU,35,Ontario,3514,Northumberland,CTY,3514020,Port Hope,3520,Muskoka--Kawarthas,528,3,528,35528,Port Hope,D
2097,"colborne ,ON, Canada",-77.8879789,44.0050196,3514014,Cramahe,TP,35,Ontario,3514,Northumberland,CTY,3514014,Cramahe,3520,Muskoka--Kawarthas,996,4,,,,
2219,"northumberland ,ON, Canada",-77.9872929,44.1096596,3514024,Alnwick/Haldimand,TP,35,Ontario,3514,Northumberland,CTY,3514024,Alnwick/Haldimand,3520,Muskoka--Kawarthas,996,4,,,,
2477,"timmins ,ON, Canada",-81.330414,48.477473,3556027,Timmins,CY,35,Ontario,3556,Cochrane,DIS,3556027,Timmins,3590,Northeast / Nord-est,586,3,586,35586,Timmins,D
1614,"orangeville ,ON, Canada",-80.0973754,43.9193171,3522014,Orangeville,T,35,Ontario,3522,Dufferin,CTY,3522012,Mono,3540,Kitchener--Waterloo--Barrie,535,1,535,35535,Toronto,B
2406,"orillia ,ON, Canada",-79.4169256,44.6066135,3543052,Orillia,CY,35,Ontario,3543,Simcoe,CTY,3543015,Severn,3540,Kitchener--Waterloo--Barrie,569,3,569,35569,Orillia,D
2140,"orleans ,ON, Canada",-75.52745676,45.40683715,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2151,"orono ,ON, Canada",-78.616447,43.975028,3518017,Clarington,MU,35,Ontario,3518,Durham,RM,3518017,Clarington,3530,Toronto,532,1,532,35532,Oshawa,B
1979,"oshawa ,ON, Canada",-78.8635324,43.8975558,3518013,Oshawa,CY,35,Ontario,3518,Durham,RM,3518013,Oshawa,3530,Toronto,532,1,532,35532,Oshawa,B
2548,"paris ,ON, Canada",-80.384281,43.193234,3529005,Brant,CY,35,Ontario,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543,35543,Brantford,B
2719,"pembroke ,ON, Canada",-77.1115433,45.8209741,3547064,Pembroke,CY,35,Ontario,3547,Renfrew,CTY,3547075,Laurentian Valley,3515,Kingston--Pembroke,515,3,515,35515,Pembroke,D
2659,"perth ,ON, Canada",-81.0164111,43.4935991,3531030,Perth East,TP,35,Ontario,3531,Perth,CTY,3531030,Perth East,3580,Stratford--Bruce Peninsula,996,4,,,,
2722,"petawawa ,ON, Canada",-77.2826645,45.8984286,3547076,Petawawa,T,35,Ontario,3547,Renfrew,CTY,3547090,Laurentian Hills,3515,Kingston--Pembroke,516,3,516,35516,Petawawa,D
2144,"peterborough ,ON, Canada",-78.3199496,44.3048009,3515014,Peterborough,CY,35,Ontario,3515,Peterborough,CTY,3515015,Selwyn,3520,Muskoka--Kawarthas,529,1,529,35529,Peterborough,B
2268,"petrolia ,ON, Canada",-82.149582,42.882002,3538019,Petrolia,T,35,Ontario,3538,Lambton,CTY,3538016,Enniskillen,3570,Windsor--Sarnia,996,4,,,,
2215,"picton ,ON, Canada",-77.1411741,44.0077067,3513020,Prince Edward County,CY,35,Ontario,3513,Prince Edward,CDR,3513020,Prince Edward County,3515,Kingston--Pembroke,996,4,,,,
2215,"prince edward ,ON, Canada",-77.246933,44.031827,3513020,Prince Edward County,CY,35,Ontario,3513,Prince Edward,CDR,3513020,Prince Edward County,3515,Kingston--Pembroke,996,4,,,,
2547,"port dover ,ON, Canada",-80.2005169,42.7845713,3528052,Norfolk County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547,35547,Norfolk,D
2020,"port perry ,ON, Canada",-78.9425076,44.1054151,3518020,Scugog,TP,35,Ontario,3518,Durham,RM,3518020,Scugog,3530,Toronto,996,4,,,,
1809,"prescott ,ON, Canada",-75.5191675,44.7184132,3507008,Prescott,T,35,Ontario,3507,Leeds and Grenville,UC,3507006,Augusta,3510,Ottawa,996,4,,,,
2050,"quinte west ,ON, Canada",-77.5666791,44.191211,3512015,Quinte West,CY,35,Ontario,3512,Hastings,CTY,3512015,Quinte West,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2947,"rainy river ,ON, Canada",-92.6997993,48.8208533,3559090,"Rainy River, Unorganized",NO,35,Ontario,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2604,"windsor ,ON, Canada",-83.0373389,42.3167397,3537039,Windsor,CY,35,Ontario,3537,Essex,CTY,3537039,Windsor,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2721,"renfrew ,ON, Canada",-77.2793698,45.7300564,3547075,Laurentian Valley,TP,35,Ontario,3547,Renfrew,CTY,3547075,Laurentian Valley,3515,Kingston--Pembroke,515,3,515,35515,Pembroke,D
1815,"westport ,ON, Canada",-76.397463,44.678462,3507033,Westport,VL,35,Ontario,3507,Leeds and Grenville,UC,3507040,Rideau Lakes,3510,Ottawa,997,5,,,,
2317,"richmond hill ,ON, Canada",-79.4392925,43.8801166,3519038,Richmond Hill,T,35,Ontario,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535,35535,Toronto,B
2315,"thornhill ,ON, Canada",-79.4245925,43.8161477,3519028,Vaughan,CY,35,Ontario,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535,35535,Toronto,B
2079,"rockland ,ON, Canada",-75.2915629,45.5485795,3502036,Clarence-Rockland,C,35,Ontario,3502,Prescott and Russell,UC,3502036,Clarence-Rockland,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2081,"russell ,ON, Canada",-75.3583264,45.2573172,3502048,Russell,TP,35,Ontario,3502,Prescott and Russell,UC,3502048,Russell,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2544,"welland ,ON, Canada",-79.2484192,42.9922181,3526032,Welland,CY,35,Ontario,3526,Niagara,RM,3526037,Thorold,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
1829,"caledonia ,ON, Canada",-79.4653558,43.6923702,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2592,"sault ste. marie ,ON, Canada",-84.320068,46.52391,3557061,Sault Ste. Marie,CY,35,Ontario,3557,Algoma,DIS,3557061,Sault Ste. Marie,3590,Northeast / Nord-est,590,2,590,35590,Sault Ste. Marie,K
1829,"scarborough ,ON, Canada",-79.2576479,43.7729744,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2337,"shelburne ,ON, Canada",-80.203431,44.078473,3522021,Shelburne,T,35,Ontario,3522,Dufferin,CTY,3522019,Melancthon,3540,Kitchener--Waterloo--Barrie,996,4,,,,
2643,"port elgin ,ON, Canada",-81.3889458,44.4358826,3541045,Saugeen Shores,T,35,Ontario,3541,Bruce,CTY,3541045,Saugeen Shores,3580,Stratford--Bruce Peninsula,997,5,,,,
2260,"tecumseh ,ON, Canada",-82.8861974,42.3117951,3537048,Tecumseh,T,35,Ontario,3537,Essex,CTY,3537048,Tecumseh,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2260,"st. clair beach ,ON, Canada",-82.8588507,42.3202229,3537048,Tecumseh,T,35,Ontario,3537,Essex,CTY,3537048,Tecumseh,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2671,"simcoe ,ON, Canada",-79.7038708,44.5014007,3543009,Springwater,TP,35,Ontario,3543,Simcoe,CTY,3543009,Springwater,3540,Kitchener--Waterloo--Barrie,568,1,568,35568,Barrie,B
3014,"sioux lookout ,ON, Canada",-92.19624323,50.11345465,3560034,Sioux Lookout,MU,35,Ontario,3560,Kenora,DIS,3560090,"Kenora, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2191,"smiths falls ,ON, Canada",-76.0212062,44.9013316,3509004,Smiths Falls,T,35,Ontario,3509,Lanark,CTY,3509001,Montague,3510,Ottawa,997,5,,,,
1813,"1000 islands ,ON, Canada",-75.8853212,44.4318712,3507021,Leeds and the Thousand Islands,TP,35,Ontario,3507,Leeds and Grenville,UC,3507021,Leeds and the Thousand Islands,3510,Ottawa,996,4,,,,
1901,"dufferin  ,ON, Canada",-80.1691941,44.0497496,3522008,Amaranth,TP,35,Ontario,3522,Dufferin,CTY,3522008,Amaranth,3540,Kitchener--Waterloo--Barrie,996,4,,,,
1827,"georgina ,ON, Canada",-79.34615813,44.34159575,3519070,Georgina,T,35,Ontario,3519,York,RM,3519070,Georgina,3530,Toronto,535,1,535,35535,Toronto,B
2547,"haldimand-norfolk ,ON, Canada",-80.27101841,42.83163935,3528052,Norfolk County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547,35547,Norfolk,D
2668,"waterloo ,ON, Canada",-80.5222961,43.4652699,3530016,Waterloo,CY,35,Ontario,3530,Waterloo,RM,3530013,Kitchener,3540,Kitchener--Waterloo--Barrie,541,1,541,35541,Kitchener - Cambridge - Waterloo,B
2536,"niagara falls ,ON, Canada",-79.0639039,43.1065603,3526043,Niagara Falls,CY,35,Ontario,3526,Niagara,RM,3526043,Niagara Falls,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2050,"northumberland west ,ON, Canada",-77.5988284,44.0959943,3512015,Quinte West,CY,35,Ontario,3512,Hastings,CTY,3512015,Quinte West,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2680,"south simcoe ,ON, Canada",-80.1812131,44.8944812,3543069,Christian Island 30,IRI,35,Ontario,3543,Simcoe,CTY,3543068,Tiny,3540,Kitchener--Waterloo--Barrie,997,5,,,,
2538,"st. catharines ,ON, Canada",-79.2441003,43.1579812,3526053,St. Catharines,CY,35,Ontario,3526,Niagara,RM,3526053,St. Catharines,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
1829,"st. lawrence ,ON, Canada",-79.3714278,43.649422,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
1954,"stouffville ,ON, Canada",-79.2454446,43.9717581,3519044,Whitchurch-Stouffville,T,35,Ontario,3519,York,RM,3519044,Whitchurch-Stouffville,3530,Toronto,535,1,535,35535,Toronto,B
2152,"uxbridge ,ON, Canada",-79.1226768,44.1088502,3518029,Uxbridge,TP,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3530,Toronto,535,1,535,35535,Toronto,B
2315,"vaughan ,ON, Canada",-79.5268023,43.7941544,3519028,Vaughan,CY,35,Ontario,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535,35535,Toronto,B
1978,"whitby ,ON, Canada",-78.9421751,43.87982,3518009,Whitby,T,35,Ontario,3518,Durham,RM,3518009,Whitby,3530,Toronto,532,1,532,35532,Oshawa,B
2712,"st. thomas ,ON, Canada",-81.1929882,42.779022,3534021,St. Thomas,CY,35,Ontario,3534,Elgin,CTY,3534020,Central Elgin,3560,London,555,1,555,35555,London,B
2705,"elgin ,ON, Canada",-81.3660384,42.7269522,3534024,Southwold,TP,35,Ontario,3534,Elgin,CTY,3534024,Southwold,3560,London,555,1,555,35555,London,B
2670,"stayner ,ON, Canada",-80.0904451,44.4194642,3543005,Clearview,TP,35,Ontario,3543,Simcoe,CTY,3543005,Clearview,3540,Kitchener--Waterloo--Barrie,996,4,,,,
2015,"northeast ,ON, Canada",-81.40476769,46.2897445,3553005,Greater Sudbury / Grand Sudbury,CV,35,Ontario,3553,Greater Sudbury / Grand Sudbury,CDR,3553005,Greater Sudbury / Grand Sudbury,3590,Northeast / Nord-est,580,1,580,35580,Greater Sudbury / Grand Sudbury,B
2140,"stittsville ,ON, Canada",-75.91290007,45.2700872,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2503,"stoney creek ,ON, Canada",-79.7176762,43.1936781,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
2433,"new liskeard ,ON, Canada",-79.6789029,47.508731,3554020,Temiskaming Shores,CY,35,Ontario,3554,Timiskaming,DIS,3554020,Temiskaming Shores,3590,Northeast / Nord-est,998,6,,,,
2514,"wawa ,ON, Canada",-84.7740199,47.9929283,3557076,Wawa,MU,35,Ontario,3557,Algoma,DIS,3557095,"Algoma, Unorganized, North Part",3590,Northeast / Nord-est,997,5,,,,
2385,"wasaga ,ON, Canada",-80.0203156,44.5224813,3543064,Wasaga Beach,T,35,Ontario,3543,Simcoe,CTY,3543009,Springwater,3540,Kitchener--Waterloo--Barrie,565,3,565,35565,Wasaga Beach,D
2183,"sharbot lake ,ON, Canada",-76.6901144,44.7706987,3510035,Central Frontenac,TP,35,Ontario,3510,Frontenac,CTY,3510035,Central Frontenac,3515,Kingston--Pembroke,996,4,,,,
2403,"harrow ,ON, Canada",-82.9183594,42.035586,3537016,Essex,T,35,Ontario,3537,Essex,CTY,3537016,Essex,3570,Windsor--Sarnia,996,4,,,,
2269,"lambton ,ON, Canada",-82.40588922,42.93121985,3538025,Sarnia 45,IRI,35,Ontario,3538,Lambton,CTY,3538030,Sarnia,3570,Windsor--Sarnia,562,2,562,35562,Sarnia,K
2149,"bobcaygeon ,ON, Canada",-78.5444995,44.5372969,3516010,Kawartha Lakes,CY,35,Ontario,3516,Kawartha Lakes,CDR,3516010,Kawartha Lakes,3520,Muskoka--Kawarthas,530,3,530,35530,Kawartha Lakes,D
2179,"lanark highlands ,ON, Canada",-76.48559827,45.0875524,3509039,Lanark Highlands,TP,35,Ontario,3509,Lanark,CTY,3509039,Lanark Highlands,3510,Ottawa,996,4,,,,
2179,"lanark ,ON, Canada",-76.3298878,45.047011,3509039,Lanark Highlands,TP,35,Ontario,3509,Lanark,CTY,3509039,Lanark Highlands,3510,Ottawa,996,4,,,,
2149,"lindsay ,ON, Canada",-78.7369939,44.3551266,3516010,Kawartha Lakes,CY,35,Ontario,3516,Kawartha Lakes,CDR,3516010,Kawartha Lakes,3520,Muskoka--Kawarthas,530,3,530,35530,Kawartha Lakes,D
2079,"clarence-rockland ,ON, Canada",-75.2607533,45.5247978,3502036,Clarence-Rockland,C,35,Ontario,3502,Prescott and Russell,UC,3502036,Clarence-Rockland,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2137,"vankleek hill ,ON, Canada",-74.6519669,45.5196086,3502010,Champlain,TP,35,Ontario,3502,Prescott and Russell,UC,3502010,Champlain,3510,Ottawa,996,4,,,,
2383,"cfb north bay ,ON, Canada",-79.41634873,46.3582867,3548044,North Bay,CY,35,Ontario,3548,Nipissing,DIS,3548094,"Nipissing, Unorganized, North Part",3590,Northeast / Nord-est,575,2,575,35575,North Bay,K
2206,"tweed ,ON, Canada",-77.3119649,44.4764863,3512030,Tweed,MU,35,Ontario,3512,Hastings,CTY,3512030,Tweed,3515,Kingston--Pembroke,996,4,,,,
2642,"walkerton ,ON, Canada",-81.1485894,44.1331908,3541032,Brockton,MU,35,Ontario,3541,Bruce,CTY,3541032,Brockton,3580,Stratford--Bruce Peninsula,998,6,,,,
2644,"wiarton ,ON, Canada",-81.1408154,44.7438271,3541055,South Bruce Peninsula,T,35,Ontario,3541,Bruce,CTY,3541055,South Bruce Peninsula,3580,Stratford--Bruce Peninsula,997,5,,,,
2774,"thunder bay ,ON, Canada",-88.4811791,49.809661,3558090,"Thunder Bay, Unorganized",NO,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,996,4,,,,
2708,"tilbury ,ON, Canada",-82.4322682,42.2593155,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2639,"mildmay ,ON, Canada",-81.1177723,44.0427744,3541004,South Bruce,MU,35,Ontario,3541,Bruce,CTY,3541004,South Bruce,3580,Stratford--Bruce Peninsula,998,6,,,,
2050,"trenton ,ON, Canada",-77.57539,44.1019126,3512015,Quinte West,CY,35,Ontario,3512,Hastings,CTY,3512015,Quinte West,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2658,"west nipissing ,ON, Canada",-79.9321566,46.3653409,3548055,West Nipissing / Nipissing Ouest,M,35,Ontario,3548,Nipissing,DIS,3548055,West Nipissing / Nipissing Ouest,3590,Northeast / Nord-est,997,5,,,,
2456,"ohsweken ,ON, Canada",-80.1179909,43.0687351,3529020,Six Nations (Part) 40,IRI,35,Ontario,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543,35543,Brantford,B
2456,"six nations ,ON, Canada",-80.11192461,43.05224615,3529020,Six Nations (Part) 40,IRI,35,Ontario,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543,35543,Brantford,B
2543,"pelham ,ON, Canada",-79.2838481,43.0445702,3526028,Pelham,T,35,Ontario,3526,Niagara,RM,3526028,Pelham,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2517,"wellington ,ON, Canada",-80.4614994,43.7590121,3523025,Centre Wellington,TP,35,Ontario,3523,Wellington,CTY,3523025,Centre Wellington,3540,Kitchener--Waterloo--Barrie,531,3,531,35531,Centre Wellington,D
2140,"west carleton ,ON, Canada",-76.14484319,45.3554496,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2075,"winchester ,ON, Canada",-75.35299,45.0928774,3501030,North Dundas,TP,35,Ontario,3501,"Stormont, Dundas and Glengarry",UC,3501030,North Dundas,3510,Ottawa,996,4,,,,
2545,"wingham ,ON, Canada",-81.31275,43.886245,3540055,North Huron,TP,35,Ontario,3540,Huron,CTY,3540055,North Huron,3580,Stratford--Bruce Peninsula,998,6,,,,
2022,"york ,ON, Canada",-79.4372217,44.0007518,3519046,Aurora,T,35,Ontario,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535,35535,Toronto,B
,"essex ,ON, Canada",-82.9183594,42.035586,3537016,Essex,T,35,Ontario,3537,Essex,CTY,3537016,Essex,3570,Windsor--Sarnia,996,4,,,,
