Newspaper,Market,Owner,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017
Nepean/Barrhaven News,nepean&barrhaven,metroland media group ltd.,,,,,,1
st. marys journal argus,st.%20marys,metroland media group ltd.,,,,,,1
journal argus,st.%20marys,metroland media group ltd.,,,,,,1
journal argus weekender,st.%20marys,metroland media group ltd.,,,,,,1
action l,london&sarnia&woodstock,altomedia inc.,,,,,,
advance,flesherton,dundalk herald publishing,,,,,,
advertiser,woodbridge,beverley and karl mallette,,,,,,
advocate,mitchell,postmedia network inc.,,,,,,
advocate,mitchell,sun media corporation,,,,,,
age dispatch,strathroy,postmedia network inc.,,,,,,
age dispatch,strathroy,sun media corporation,,,,,,
age dispatch,strathroy&middlesex,postmedia network inc.,,,,,,
alliston herald,alliston,metroland media group ltd.,,,,,,
almaguin news,burks%20falls,metroland media group ltd.,,,,,,
amherstburg river town times,amherstburg,river town times,river town times,,,,,
ancaster news,ancaster,metroland media group ltd.,,,,,,
annex gleaner,toronto,burchell publishing co. ltd.,,,,,,
arnprior chronicle guide,arnprior,metroland media group ltd.,,,,,,
arthur enterprise news,arthur,metroland media group ltd.,,,,,,
atikokan progress,atikokan,atikokan printing (1994) ltd.,,,,,,
aurora king connection,aurora,metroland media group ltd.,king connection,,,king%20township,,
aylmer express,aylmer,aylmer express ltd.,,,,,,
ayr news,ayr,ayr news ltd.,,,,,,
bancroft this week,bancroft,maple key media,,,,,,
bancroft this week,bancroft,sun media corporation,,,,,,
bancroft this week,bancroft,white pine media corp.,,,,,,
bancroft times,bancroft,bancroft times,,,,,,
banner,aurora,metroland media group ltd.,,,,,,
barrhaven independent,barrhaven,the morris group,,,,,,
barrie advance,barrie,metroland media group ltd.,,,,,,
barrys bay this week,barry's%20bay,sun media corporation,,,,,,
bayview post,toronto,post city magazines,,,,,,
beach  east york neighbourhood voice,east%20york,metroland media group ltd.,,,,,,
beach metro community news,toronto,ward 9 community news inc.,,,,,,
beachriverdale mirror,toronto,metroland media group ltd.,,,,,,
beacon star,parry%20sound,metroland media group ltd.,,,,,,
beaver,oakville,metroland media group ltd.,,,,,,
belleville news,belleville,metroland media group ltd.,,,,,,1
belleville/quinte region the community press,belleville&quinte,sun media corporation,the community press,,,,,
bizbull,mount%20forest,john benns and campbell clark,,,,,,
blenheim newstribune,blenheim,blenheim publishers,newstribune,,,,,
bloor west villager,toronto,metroland media group ltd.,,,,,,
bloor westparkdale villager,toronto,metroland media group ltd.,,,,,,
blue mountains courierherald,blue%20mountains,metroland media group ltd.,,,,,,
blyth/brussels citizen,blyth&brussels,north huron publishing co. inc.,citizen,,,,,
bracebridge examiner,bracebridge,metroland media group ltd.,,,,,,
bradford topic,bradford,metroland media group ltd.,bradford west gwillimbury topic,,,,,
bradford west gwillimbury times,bradford,postmedia network inc.,,,,,,1
bradford west gwillimbury times,bradford,sun media corporation,,,,,,1
bradford west gwillimbury topic,bradford%20west%20gwillimbury,metroland media group ltd.,,,,,,
bradford west gwillimburytopic,bradford%20west%20gwillimbury,metroland media group ltd.,bradford west gwillimbury topic,,,,,
brampton guardian,brampton,metroland media group ltd.,,,,,,
brant news,brantford,metroland media group ltd.,,,,,,1
"brantford expositor, your tmc newspaper",brantford,postmedia network inc.,,,,,,
"brantford expositor, your tmc newspaper",brantford,sun media corporation,,,,,,
brighton Independent,brighton&warkworth&campbellford,metroland media group ltd.,,,,,,
brighton independent,brighton&warkworth&campbellford,metroland media group ltd.,,,,,,
brock citizen,brock,metroland media group ltd.,,,,,,
brockville st. lawrence emc,brockville,metroland media group ltd.,st. lawrence news,,,,,1
bruce peninsula press,tobermory,tobermory press inc.,,,,,,
burford times,burford,burford times,,,,,,
burks falls almaguin news,burks%20falls,metroland media group ltd.,almaguin news,,,,,
burlington post,burlington,metroland media group ltd.,,,,,,
caledon citizen,caledon,london publishing corporation,,,,,,
caledon enterprise,caledon,metroland media group ltd.,,,,,,
cambridge times,cambridge,metroland media group ltd.,,,,,,
campbellford/northwest emc,campbellford&northwest,metroland media group ltd.,,,,,,
canadian champion,milton,metroland media group ltd.,,,,,,
canadian jewish news,toronto,canadian jewish news,,,,,,
caps community news,kawartha%20lakes&north%20durham,scugog communications group,,,,,,
carleton placealmonte canadian gazette,almonte&carleton%20place,metroland media group ltd.,,,,,,
central hastings news,stirling,metroland media group ltd.,,,,,,1
central hastings/trent hill news,stirling&campbellford,metroland media group ltd.,,,,,,1
cfb borden citizen,cfb%20borden,department of national defence,citizen,,,,,
cfb petawawa post,cfb%20petawawa,department of national defence,post,,,,,
cfb trenton contact,cfb%20trenton,department of national defence,contact,,,,,
chapleau express,chapleau,the chapleau express,express,,,,,
chatham this week,chatham,sun media corporation,this week,,,,,
chesterville record,chesterville,etcetera publications,record,,,,,
chronicle,west%20elgin,postmedia network inc.,,,,,,
chronicle,west%20elgin,sun media corporation,,,,,,
citizen,blyth&brussels,north huron publishing co. inc.,,,,,,
citizen,cfb%20borden,department of national defence,,,,,,
citoyen borden citizen,cfb%20borden,canadian forces morale and welfare services (cfmws),citizen,,,,,
citoyen borden citizen,cfb%20borden,department of national defence,citizen,,,,,
city centre mirror/annex guardian,toronto,metroland media group ltd.,,,,,,
city centre/york mirror,toronto,metroland media group ltd.,,,,,,
clarington this week,clarington,metroland media group ltd.,,,,,,
clinton news record,clinton,sun media corporation,news record,,,,,
cochrane timespost,cochrane,postmedia network inc.,,,,,,
cochrane timespost,cochrane,sun media corporation,,,,,,
collingwood enterprisebulletin,collingwood,sun media corporation,enterprise bulletin,,,,,1
community news,drayton,w.h.a. publications ltd.,,,,,,
contact,cfb%20trenton,canadian forces morale and welfare services (cfmws),,department of national defence,,,,
contact,cfb%20trenton,department of national defence,,,,,,
cornwall express,cornwall,tc.transcontinental,express,,,,,
county echo,haliburton,maple key media,,,,,,
county echo,haliburton,white pine media corp.,,,,,,
county life,haliburton,white pine media corp.,,,,,,
courier press,wallaceburg,postmedia network inc.,,,,,,
courier press,wallaceburg,sun media corporation,,,,,,
creemore echo,creemore,creemore echo communications,,,,,,
deep river north renfrew times,deep%20river,deep river community assn. inc.,north renfrew times,,,,,
delhi newsrecord,delhi,sun media corporation,newsrecord,,,,,
dorchester signpost,dorchester,dorchester signpost,signpost,,,,,
drayton community news,drayton,w.h.a. publications ltd.,community news,,,,,
driftwood,ignace,ignace driftwood,,,,,,
dryden observer,dryden,alex wilson coldstream ltd.,,,,,,
dryden observer,dryden,norwest printing & publishing group,,,,,,
dryden observer/northern sun news,dryden&red%20lake,norwest printing & publishing group,dryden observer,,,,,
dundalk herald,dundalk,dundalk herald publishing,herald,,,,,
dundas star news,dundas,metroland media group ltd.,,,,,,
east gwillimbury express,east%20gwillimbury,metroland media group ltd.,,,,,,
east york mirror,east%20york,metroland media group ltd.,,,,,,
east york/beach mirror,east%20york,metroland media group ltd.,east york mirror,,,,,
economist & sun,markham,metroland media group ltd.,,,,,,
eganville leader,eganville,eganville leader publishing ltd.,,,,,,
elliot lake standard,elliot%20lake,sun media corporation,standard,,,,,
elmira independent,elmira,metroland media group ltd.,,,,,,
elmira independentexpress,elmira,metroland media group ltd.,elmira independent express,,,,,
elmirawoolwich observer,elmira&woolwich,cathedral communications inc.,observer,,,,,
elmvale springwater news,elmvale,springwater news,springwater news,,,,,
embassy,ottawa,hill times publishing inc.,,,,,,
embrun news,embrun,le reflet,news,,,,,
enterprise,iroquois%20falls,william c. cavell enterprises ltd.,,,,,,
enterprisebulletin,collingwood,postmedia network inc.,enterprise bulletin,,,,,1
enterprisebulletin,collingwood,sun media corporation,enterprise bulletin,,,,,1
epoch times,toronto,epoch times media inc.,,,,,,
epoch times toronto,toronto,epoch times media inc.,epoch times,,,,,
era banner,newmarket&aurora,metroland media group ltd.,era banner,,,,,
erin advocate,erin,metroland media group ltd.,the advocate,,,,,
espanola midnorth monitor,espanola,sun media corporation,midnorth monitor,,,,,
essex free press,essex,london publishing corporation,,,,,,
etc...news,toronto,etc...news,,,,,,
etobicoke guardian,etobicoke,metroland media group ltd.,,,,,,
exeter lakeshore timesadvance,exeter,postmedia network inc.,times advocate,,,,,1
exeter timesadvocate,exeter,metroland media group ltd.,times advocate,,,,,1
exeter timesadvance,exeter,postmedia network inc.,times advocate,,,,,1
exeter timesadvocate weekender,exeter,metroland media group ltd.,times advocate,,,,,1
timesadvocate weekender,exeter,metroland media group ltd.,times advocate weekender,,,,,1
timesadvocate,exeter,metroland media group ltd.,times advocate,,,,,1
timesadvocate weekender,exeter,metroland media group ltd.,times advocate weekender,,,,,1
express,chapleau,the chapleau express,,,,,,
express,cornwall,tc.transcontinental,,,,,,
express dottawa l,ottawa,tc.transcontinental,,,,,,
express l,toronto,l'express,,,,,,
fergus wellington advertiser,fergus,w.h.a. publications ltd.,wellington advertiser,,,,,
ferguselora news express,fergus&elora,metroland media group ltd.,news express,,,,,
flamborough review,waterdown,metroland media group ltd.,,,,,,
flesherton advance,flesherton,dundalk herald publishing,advance,,,,,
fonthill pelham news,fonthill,sun media corporation,pelham news,,,,,1
forest hill town crier,toronto,streeter publications ltd.,,,,,,
forest standard,forest,hayter-walden publications inc.,standard,,,,,
fort erie times,fort%20erie,postmedia network inc.,,,,,,1
fort erie times,fort%20erie,sun media corporation,,,,,,1
fort frances times,fort%20frances,fort frances times ltd.,,,,,,
frontenac gazette,frontenac,metroland media group ltd.,,,,,,1
gananoque reporter,gananoque,sun media corporation,reporter,,,,,
gazette,nipigon&red%20rock,lakeshore community publishing,,,,,,
gazette,norwich,postmedia network inc.,,,,,,
gazette,norwich,sun media corporation,,,,,,
gazette,tavistock,tavistock gazette ltd.,,,,,,
gazette transcript & free press,parkhill,hayter-walden publications inc.,,,,,,
gazette transcript & free press,parkhill&glencoe,hayter-walden publications inc.,,,,,,
gazette transcript & free press,parkhill&glencoe,,,hayter-walden publications inc.,,,,
georgetown/acton independent & free press,georgetown&acton,metroland media group ltd.,independent & free press,,,,,
georgina advocate,keswick,metroland media group ltd.,,,,,,
glanbrook gazette,glanbrook,metroland media group ltd.,,,,,,
glencoe transcript/free press,glencoe,hayter-walden publications inc.,transcript/free press,,,,,
glengarry news,alexandria,glengarry news ltd.,,,,,,
goderich signalstar,goderich,postmedia network inc.,signalstar,,,,,
goderich signalstar,goderich,sun media corporation,signalstar,,,,,
gout de vivre le,penetanguishene,comite d'action place lafontaine,,,,,,
grand river sachem,haldimand,metroland media group ltd.,the sachem,,,,,
gravenhurst banner,gravenhurst,metroland media group ltd.,,,,,,
grey bruce this week,hanover,postmedia network inc.,,,,,,
grey bruce this week,hanover,sun media corporation,,,,,,
grimsby lincoln news,grimsby&lincoln,metroland media group ltd.,,,,,,
guard of honour,cfsu%20ottawa,canadian forces morale and welfare services (cfmws),,,,,,
guard of honour,cfsu%20ottawa,department of national defence,,,,,,
guelph mercury tribune,guelph,metroland media group ltd.,,,,,,
guideadvocate,watford,hayter-walden publications inc.,guide advocate,,,,,
haldimand press,hagersville&cayuga,haldimand advocate limited,,,,,,
haliburton county echo,haliburton,sun media corporation,county echo,,,,,
haliburton highlander,haliburton,the haliburton highlander limited,highlander,,,,,
hamilton mountain news,hamilton,metroland media group ltd.,mountain news,,,,,
herald,dundalk,dundalk herald publishing,,,,,,
herald,thamesville,allison humphrey,,,,,,
herald,thamesville,heather wright,,,,,,
highlander,haliburton,maple key media,,,,,,
highlands courier,bancroft&wilberforce,the highlands courier,,,,,,
hill times,ottawa,hill times publishing inc.,,,,,,
horizon,kapuskasing,postmedia network inc.,,,,,,
horizon,kapuskasing,sun media corporation,,,,,,
huntsville forester,huntsville,metroland media group ltd.,,,,,,
huron expositor,seaforth,postmedia network inc.,,,,,,
huron expositor,seaforth,sun media corporation,,,,,,
ignace driftwood,ignace,ignace driftwood,driftwood,,,,,
in port news,port%20colborne,postmedia network inc.,,,,,,1
in port news,port%20colborne,sun media corporation,,,,,,1
independent,barrhaven,the morris group,,,,,,
independent,st.%20marys,st. marys independent,st. marys independent,,,,,
independent & free press,georgetown&acton,metroland media group ltd.,,,,,,
independent news,ridgetown,ridgetown independent news,,,,,,
independent/news,tillsonburg,postmedia network inc.,,,1,,,
independent/news,tillsonburg,sun media corporation,,,1,,,
information l,hamilton&burlington,l'information (hamilton/burlington),,,,,,
ingersoll times,ingersoll,postmedia network inc.,,,,,,
ingersoll times,ingersoll,sun media corporation,,,,,,
innisfil journal,innisfil,metroland media group ltd.,,,,,,
innisfil scope,innisfil,london publishing corporation,,,,,,
iroquois falls enterprise,iroquois%20falls,william c. cavell enterprises ltd.,enterprise,,,,,
jackfish journal,hornepayne,ginger latoski,,,,,,
jackfish journal,hornepayne,lisa stewart,,,,,,
jackfish journal,hornepayne,,,,,,,
journal,wheatley,southpoint publishing inc.,,,,,,
journal,wheatley,wheatley journal,,,,,,
journal de cornwall le,cornwall,compagnie d'edition andre paquette,,,,,,
kanata kourier standard,kanata,metroland media group ltd.,,,,,,1
kanata kouriers tandard,kanata,metroland media group ltd.,kanata kourier standard,,,,,1
kapuskasing horizon,kapuskasing,sun media corporation,horizon,,,,,
kapuskasing northern times,kapuskasing,sun media corporation,northern times,,,,,
kapuskasing the weekender,kapuskasing,sun media corporation,the weekender,,,,,
kawartha lakes this week,kawartha%20lakes,metroland media group ltd.,,,,,,
kemptville advance,kemptville,metroland media group ltd.,,,,,,
kenora lake of the woods enterprise,kenora,sun media corporation,lake of the woods enterprise,,,,,
kincardine news,kincardine,postmedia network inc.,,,,,,
kincardine news,kincardine,sun media corporation,,,,,,
king connection,king%20township,metroland media group ltd.,,,,,,
king township weekly sentinel,king%20township,london publishing corporation,weekly sentinel,,,,,
king weekly,king,ontario ltd.,weekly,,,,,
kingston heritage,kingston,metroland media group ltd.,,,,,,1
kingston/frontenac this week,kingston&frontenac,postmedia network inc.,,,,,,
kingston/frontenac this week,kingston&frontenac,sun media corporation,,,,,,
kingsville reporter,kingsville,postmedia network inc.,,,,,,
"kitchener citizen, east edition",kitchener,carrie debrone,,,,,,
"kitchener citizen, east editionon",kitchener,carrie debrone,"kitchener citizen, east edition",,,,,
"kitchener citizen, east editionon",kitchener,rosemount house publishing,"kitchener citizen, east edition",,,,,
"kitchener citizen, west edition",kitchener,helen redgwell hall,,,,,,
"kitchener citizen, west editionon",kitchener,helen redgwell hall,"kitchener citizen, west edition",,,,,
kitchener post,kitchener,metroland media group ltd.,,,,,,
lake erie beacon,port%20stanley,andrew hibbert and ted halwa,,,,,,
lake erie beaconon,port%20stanley,andrew hibbert and ted halwa,lake erie beacon,,,,,
lake of the woods enterprise,kenora,postmedia network inc.,,,,,,
lake of the woods enterprise,kenora,sun media corporation,,,,,,
lakefield herald,lakefield,lakefield herald ltd.,,,,,,
lakeshore advance,grand%20bend&zurich,postmedia network inc.,,,,,,
lakeshore advance,grand%20bend&zurich,sun media corporation,,,,,,
lakeshore news,belle%20river,postmedia network inc.,,,,,,
lambtonmiddlesex standard,lambton-middlesex,hayter-walden publications inc.,,,,,,
lasalle post,lasalle,postmedia network inc.,,,,,,
le carillon,hawkesbury,compagnie d'edition andre paquette,,,,,,
le nord,hearst,le nord inc.,,,,,,
le regional,hawkesbury,le regional,,,,,,
le regional,hawkesbury,postmedia network inc.,,,,,,
le regional,hawkesbury,sun media corporation,,,,,,
le voyageur,sudbury,publications voyageur inc.,,,,,,
leader,eganville,eganville leader publishing ltd.,,,,,,
leader spirit,dresden&bothwell,sun media corporation,,,,,,
leamington southpoint sun,leamington,jim heyens and sheila mcbrayne,southpoint sun,,,,,
leasiderosedale town crier,toronto,streeter publications ltd.,,,,,,
lexpress,toronto,l'express,express l,,,,,
listowel banner,listowel,metroland media group ltd.,,,,,,
listowel independent plus,listowel,metroland media group ltd.,,,,,,
london community news,london,metroland media group ltd.,,,,,,
longlac times star,geraldton,times star publishing,times star,,,,,
lucknow sentinel,lucknow,sun media corporation,sentinel,,,,,
m??tro courrier le,toronto,metro courrier,metro courrier le,,,,,
manitoulin expositor,manitoulin%20island,manitoulin publishing co. ltd.,,,,,,
manitoulin west recorder,gore%20bay,manitoulin publishing co. ltd.,,,,,,
manitouwadge echo,manitouwadge,manitouwadge echo,the echo,,,,,
manotick messenger,manotick,the morris group,,,,,,
manotick news,manotick,metroland media group ltd.,,,,,,
marketplace,stratford,postmedia network inc.,,,,,,
marketplace,stratford,sun media corporation,,,,,,
markham economist & sun,markham,metroland media group ltd.,economist & sun,,,,,
mattawa recorder,mattawa,ontario inc.,recorder,,,,,
meaford express,meaford,metroland media group ltd.,,,,,,1
mercury,marathon,marathon mercury printers limited,,,,,,
metropolitain le,toronto,alto inc.,,,,,,
middlesex banner,lucan&ailsa%20craig&ilderton,banner publications,,,,,,
midland/ penetanguishene mirror,midland&%20penetanguishene,metroland media group ltd.,the mirror,,,,,
midnorth monitor,espanola,postmedia network inc.,,,,,,
midnorth monitor,espanola,sun media corporation,,,,,,
midtown post,toronto,post city magazines,,,,,,
millbrook times,millbrook,millbrook times,,,,,,
minden times,minden,sun media corporation,the times,,,,,
minto express,harriston,metroland media group ltd.,,,,,,
mississauga news,mississauga,metroland media group ltd.,,,,,,
mississauga news apartment edition,mississauga,metroland media group ltd.,,,,,,
mississauga news this week,mississauga,metroland media group ltd.,,,,,,
mitchell advocate,mitchell,postmedia network inc.,advocate,,,,,
mitchell advocate,mitchell,sun media corporation,advocate,,,,,
morrisburg leader,morrisburg,the morrisburg leader ltd.,the leader,,,,,
mount forest bizbull,mount%20forest,john benns and campbell clark,bizbull,,,,,
mount forest confederate,mount%20forest,metroland media group ltd.,,,,,,
mountain news,hamilton,metroland media group ltd.,,,,,,
muskoka district weekender,muskoka,metroland media group ltd.,,,,,,
muskoka sun,bracebridge,metroland media group ltd.,,,,,,
muskokaregion.com,muskoka,metroland media group ltd.,,,,,,
napanee beaver,napanee,napanee beaver ltd.,,,,,,
napanee guide,napanee,postmedia network inc.,,,,,,
napanee guide,napanee&lennox&addington,postmedia network inc.,,,,,,
napanee guide,napanee&lennox&addington,sun media corporation,,,,,,
new credit reporter,brantford,tekawennake publications,,,,,,
new hamburg independent,new%20hamburg,metroland media group ltd.,,,,,,
new tecumseh times,beeton,london publishing corporation,beeton new tecumseth times,,,,,
new tecumseh times,beeton&new%20tecumseth,london publishing corporation,beeton new tecumseth times,,,,,
newmarket/aurora era banner/aurora banner,newmarket&aurora,metroland media group ltd.,,,,,1,
news,embrun,compagnie d'edition andre paquette,,,,,,
news,kincardine,sun media corporation,,,,,,
news,terrace%20bay&schreiber,lakeshore community publishing,,,,,,
news,tillsonburg,postmedia network inc.,,,,,,
news,tillsonburg,sun media corporation,,,,,,
news advertiser,ajax&pickering,metroland media group ltd.,,,,,,
news express,fergus&elora,metroland media group ltd.,,,,,,
news record,clinton,postmedia network inc.,,,,,,
news record,clinton,sun media corporation,,,,,,
newsnow,grimsby&lincoln&west%20lincoln,mike williscraft,,,,,,
newsnow,grimsby&lincoln&west%20lincoln,ontario ltd.,,,,,,
newsnow,grimsby&lincoln&west%20lincoln,,,,,,,
newsrecord,delhi,postmedia network inc.,,,,,,
newsrecord,delhi,sun media corporation,,,,,,
newstribune,blenheim,blenheim publishers,,,,,,
the niagara advance,niagara%20on%20the%20lake,postmedia network inc.,niagara advance,,,,,1
niagara advance,niagara%20on%20the%20lake,postmedia network inc.,,,,,,1
niagara advance,niagara%20on%20the%20lake,sun media corporation,,,,,,1
niagara news,thorold,sun media corporation,thorold niagara news,,,,,1
niagara this week,niagara,metroland media group ltd.,,,,,,
niagara this week town crier,niagara%20on%20the%20lake,metroland media group ltd.,,,,,,
"niagara this week, fort erie post",fort%20erie,metroland media group ltd.,,,,,,
"niagara this week, the leader",port%20colborne,metroland media group ltd.,,,,,,
nipigonred rock gazette,nipigon&red%20rock,lakeshore community publishing,gazette,lakeshore community publishing ltd.,,,,
nipigonred rock gazette,nipigon&red%20rock,lakeshore community publishing ltd.,gazette,,,,,
nipissing news,north%20bay,metroland media group ltd.,,,,,,
norfolk news,norfolk,metroland media group ltd.,,,,,,1
north grenville times,north%20grenville,north grenville times inc.,,,,,,
