,0
0,nepean&barrhaven Nepean/Barrhaven News
1,st.%20marys St. Marys journal argus
2,st.%20marys St. Marys journal argus weekender
3,london&sarnia&woodstock action l
4,flesherton advance
5,woodbridge advertiser
6,mitchell advocate
7,strathroy age dispatch
8,strathroy&middlesex age dispatch
9,alliston alliston herald
10,burks%20falls almaguin news
11,ancaster ancaster news
12,toronto annex gleaner
13,arnprior arnprior chronicle guide
14,arthur arthur enterprise news
15,atikokan atikokan progress
16,aylmer aylmer express
17,ayr ayr news
18,bancroft bancroft this week
19,bancroft bancroft times
20,aurora banner
21,barrhaven barrhaven independent
22,barrie barrie advance
23,barry's%20bay barrys bay this week
24,toronto bayview post
25,east%20york beach  east york neighbourhood voice
26,toronto beach metro community news
27,toronto beachriverdale mirror
28,parry%20sound beacon star
29,oakville beaver
30,belleville belleville news
31,mount%20forest bizbull
32,toronto bloor west villager
33,toronto bloor westparkdale villager
34,blue%20mountains blue mountains courierherald
35,bracebridge bracebridge examiner
36,bradford bradford west gwillimbury times
37,bradford%20west%20gwillimbury bradford west gwillimbury topic
38,bradford bradford west gwillimbury topic
39,brampton brampton guardian
40,brantford brant news
41,"brantford brantford expositor, your tmc newspaper"
42,brighton&warkworth&campbellford brighton Independent
43,brighton&warkworth&campbellford brighton independent
44,brock brock citizen
45,tobermory bruce peninsula press
46,burford burford times
47,burlington burlington post
48,caledon caledon citizen
49,caledon caledon enterprise
50,cambridge cambridge times
51,campbellford&northwest campbellford/northwest emc
52,milton canadian champion
53,toronto canadian jewish news
54,kawartha%20lakes&north%20durham caps community news
55,almonte&carleton%20place carleton placealmonte canadian gazette
56,stirling&northeast central hastings news
57,stirling&campbellford central hastings/trent hill news
58,west%20elgin chronicle
59,cfb%20borden citizen
60,blyth&brussels citizen
61,cfb%20borden citoyen borden citizen
62,toronto city centre mirror/annex guardian
63,toronto city centre/york mirror
64,clarington clarington this week
65,cochrane cochrane timespost
66,drayton community news
67,cfb%20trenton contact
68,haliburton county echo
69,haliburton county life
70,wallaceburg courier press
71,creemore creemore echo
72,ignace driftwood
73,dryden dryden observer
74,dryden&red%20lake dryden observer
75,dundas dundas star news
76,east%20gwillimbury east gwillimbury express
77,east%20york east york mirror
78,markham economist & sun
79,eganville eganville leader
80,elmira elmira independent
81,elmira elmira independentexpress
82,ottawa embassy
83,iroquois%20falls enterprise
84,collingwood enterprisebulletin
85,toronto epoch times
86,newmarket&aurora era banner
87,essex essex free press
88,toronto etc...news
89,etobicoke etobicoke guardian
90,exeter exeter lakeshore timesadvance
91,chapleau express
92,cornwall express
93,ottawa express dottawa l
94,toronto express l
95,waterdown flamborough review
96,toronto forest hill town crier
97,fort%20erie fort erie times
98,fort%20frances fort frances times
99,frontenac frontenac gazette
100,parkhill gazette
101,nipigon&red%20rock gazette
102,norwich gazette
103,tavistock gazette
104,parkhill&glencoe gazette transcript & free press
105,parkhill gazette transcript & free press
106,keswick georgina advocate
107,glanbrook glanbrook gazette
108,alexandria glengarry news
109,goderich goderich signalstar
110,penetanguishene gout de vivre le
111,gravenhurst gravenhurst banner
112,hanover grey bruce this week
113,grimsby&lincoln grimsby lincoln news
114,cfsu%20ottawa guard of honour
115,guelph guelph mercury tribune
116,watford guide advocate
117,hagersville&cayuga haldimand press
118,dundalk herald
119,thamesville herald
120,walkerton herald times
121,haliburton highlander
122,bancroft&wilberforce highlands courier
123,ottawa hill times
124,kapuskasing horizon
125,huntsville huntsville forester
126,seaforth huron expositor
127,port%20colborne in port news
128,barrhaven independent
129,st.%20marys independent
130,georgetown&acton independent & free press
131,ridgetown independent news
132,tillsonburg independent/news
133,hamilton&burlington information l
134,ingersoll ingersoll times
135,innisfil innisfil journal
136,innisfil innisfil scope
137,hornepayne jackfish journal
138,wheatley journal
139,cornwall journal de cornwall le
140,kanata kanata kourier standard
141,kawartha%20lakes kawartha lakes this week
142,kemptville kemptville advance
143,kincardine kincardine news
144,aurora king connection
145,king%20township king connection
146,kingston kingston heritage
147,kingston&frontenac kingston/frontenac this week
148,kingsville kingsville reporter
149,"kitchener kitchener citizen, east edition"
150,"kitchener kitchener citizen, west edition"
151,kitchener kitchener post
152,port%20stanley lake erie beacon
153,kenora lake of the woods enterprise
154,lakefield lakefield herald
155,grand%20bend&zurich lakeshore advance
156,belle%20river lakeshore news
157,lambton-middlesex lambtonmiddlesex standard
158,lasalle lasalle post
159,hawkesbury le carillon
160,hearst le nord
161,hawkesbury le regional
162,hamilton&niagara&kitchener&welland le regional
163,sudbury le voyageur
164,eganville leader
165,dresden&bothwell leader spirit
166,toronto leasiderosedale town crier
167,listowel listowel banner
168,listowel listowel independent plus
169,london london community news
170,geraldton longlac times star
171,toronto m??tro courrier le
172,manitoulin%20island manitoulin expositor
173,gore%20bay manitoulin west recorder
174,manotick manotick messenger
175,manotick manotick news
176,stratford marketplace
177,meaford meaford express
178,marathon mercury
179,toronto metropolitain le
180,lucan&ailsa%20craig&ilderton middlesex banner
181,espanola midnorth monitor
182,toronto midtown post
183,millbrook millbrook times
184,minden minden times
185,harriston minto express
186,mississauga mississauga news
187,mississauga mississauga news apartment edition
188,mississauga mississauga news this week
189,mount%20forest mount forest confederate
190,hamilton mountain news
191,muskoka muskoka district weekender
192,bracebridge muskoka sun
193,muskoka muskokaregion.com
194,napanee napanee beaver
195,napanee&lennox&addington napanee guide
196,napanee napanee guide
197,brantford new credit reporter
198,new%20hamburg new hamburg independent
199,beeton new tecumseh times
200,beeton&new%20tecumseth new tecumseh times
201,tillsonburg news
202,embrun news
203,kincardine news
204,terrace%20bay&schreiber news
205,ajax&pickering news advertiser
206,fergus&elora news express
207,clinton news record
208,grimsby&lincoln&west%20lincoln newsnow
209,delhi newsrecord
210,blenheim newstribune
211,niagara%20on%20the%20lake niagara advance
212,thorold niagara news
213,niagara niagara this week
214,niagara%20on%20the%20lake niagara this week town crier
215,"fort%20erie niagara this week, fort erie post"
216,"port%20colborne niagara this week, the leader"
217,nipigon&red%20rock nipigonred rock gazette
218,north%20bay nipissing news
219,norfolk norfolk news
220,oxford%20mills north grenville times
221,north%20grenville north grenville times
222,deep%20river north renfrew times
223,thessalon north shore sentinel
224,parry%20sound north star
225,toronto north toronto post
226,toronto north toronto town crier
227,north%20york north york mirror
228,toronto north york post
229,sudbury northern life
230,kirkland%20lake northern news
231,kirkland%20lake northern news this week
232,red%20lake northern sun news
233,kapuskasing northern times
234,cobourg&port%20hope&colborne northumberland news
235,northumberland&cobourg&port%20hope&colborne northumberlandtoday.com
236,timmins nouvelles les
237,oakville oakville today
238,london observateur l
239,elmira&woolwich observer
240,pembroke observer and news
241,orangeville orangeville banner
242,orangeville orangeville citizen
243,orillia orillia today
244,orleans orleans news
245,orleans orleans star
246,orono orono weekly times
247,oshawa oshawa express
248,oshawa oshawa this week
249,"ottawa ottawa community voice, alta vistacanterbury"
250,"ottawa ottawa community voice, greenborosouth keys"
251,"ottawa ottawa community voice, hunt clubriverside park"
252,"ottawa ottawa community voice, kanatastittsville"
253,"ottawa ottawa community voice, west carleton"
254,ottawa ottawa east news
255,ottawa ottawa south news
256,ottawa ottawa west news
257,london our london
258,toronto parkdaleliberty villager
259,parry%20sound parry sound beacon star
260,parry%20sound parry sound north star
261,fonthill pelham news
262,perth perth courier
263,petawawa petawawa post
264,peterborough peterborough this week
265,petrolia petrolia topic
266,picton picton county weekly news
267,prince%20edward picton gazette
268,port%20dover port dover maple leaf
269,port%20perry port perry star
270,petawawa post
271,cfb%20petawawa post
272,prescott prescott journal
273,quinte%20west quinte west news
274,rainy%20river rainy river record
275,chesterville record
276,mattawa recorder
277,embrun reflet
278,windsor rempart le
279,renfrew renfrew mercury
280,gananoque reporter
281,westport review mirror
282,toronto richmond hill post
283,amherstburg river town times
284,russell russell villager
285,caledonia sachem extra haldimand county news
286,toronto salam toronto
287,sarnia sarnia journal
288,sarnia sarnia/lambton this week
289,sault%20ste.%20marie sault this week
290,scarborough scarborough mirror
291,london scene
292,port%20perry scugog standard
293,cornwall seaway news
294,lucknow sentinel
295,shelburne shelburne free press & economist
296,shelburne shelburne free press & economist 
297,port%20elgin shoreline beacon
298,tecumseh&st.%20clair%20beach&windsor shoreline week
299,goderich signalstar
300,dorchester signpost
301,sioux%20lookout sioux lookout bulletin
302,smiths%20falls smiths falls record news
303,1000%20islands&brockville snap 1000 islands
304,ajax snap ajax
305,toronto snap annex
306,aurora snap aurora
307,barrie snap barrie
308,toronto snap beach/danforth
309,toronto snap bloor west
310,brampton snap brampton
311,burlington snap burlington
312,toronto snap cabbagetown
313,caledon snap caledon
314,cambridge snap cambridge
315,clarington snap clarington
316,toronto snap college
317,toronto snap downtown toronto
318,dufferin%20&orangeville snap dufferin
319,etobicoke snap etobicoke
320,georgina snap georgina
321,guelph snap guelph
322,haldimand-norfolk snap haldimandnorfolk
323,hamilton snap hamilton
324,ingersoll snap ingersoll
325,kingston snap kingston
326,kitchener&waterloo snap kitchener/waterloo
327,london snap london
328,markham snap markham
329,midland&penetanguishene snap midland/penetang
330,milton snap milton
331,newmarket snap newmarket
332,niagara%20falls snap niagara falls
333,north%20bay snap north bay
334,mississauga snap north mississauga
335,toronto snap north toronto
336,toronto snap north york
337,northumberland%20west snap northumberland west
338,oakville snap oakville
339,orillia snap orillia
340,oshawa snap oshawa
341,perth snap perth
342,peterborough snap peterborough
343,pickering snap pickering
344,toronto snap queen
345,quinte snap quinte
346,richmond%20hill snap richmond hill
347,sault%20ste.%20marie snap sault ste. marie
348,scarborough snap scarborough
349,mississauga snap south mississauga
350,south%20simcoe snap south simcoe
351,st.%20catharines snap st. catharines
352,st.%20lawrence snap st. lawrence
353,stouffville&uxbridge snap stouffville/uxbridge
354,sudbury snap sudbury
355,tillsonburg snap tillsonburg
356,toronto snap toronto central
357,vaughan snap vaughan east
358,toronto snap village
359,whitby snap whitby
360,windsor snap windsor
361,woodbridge snap woodbridge
362,woodstock snap woodstock
363,kincardine south bruce independent extra
364,kincardine south bruce weekender
365,sudbury south side story
366,leamington southpoint sun
367,leamington&wheatley southpoint sun 
368,elmvale springwater news
369,brockville st. lawrence news
370,st.%20marys st. marys independent
371,forest standard
372,elliot%20lake standard
373,port%20perry&uxbridge standard
374,forest&watford standard guide advocate
375,forest standard guide advocate
376,paris star
377,stirling&northeast stirling/northeast emc
378,stittsville stittsville news
379,stoney%20creek stoney creek news
380,stratford stratford gazette
381,toronto streeter central toronto
382,toronto streeter forest hill
383,toronto streeter leaside
384,toronto streeter north toronto
385,stouffville sun tribune
386,stouffville suntribune
387,vaughan tandem
388,tavistock tavistock gazette
389,new%20liskeard temiskaming speaker
390,new%20liskeard temiskaming speakers weekender
391,terrace%20bay&schreiber terrace bayschreiber news
392,flesherton the advance
393,erin the advocate
394,wawa the algoma news review
395,aurora the auroran
396,orangeville the banner
397,burlington&hamilton the bay observer
398,burford the burford advance
399,chatham the chatham voice
400,chesterville the chesterville record
401,belleville&quinte the community press
402,kapuskasing the community press / la presse communautaire
403,collingwood&wasaga the connection
404,toronto the downtown bulletin
405,port%20stanley the echo
406,manitouwadge the echo
407,midland the free press
408,sharbot%20lake the frontenac news
409,haldimand the haldimand press
410,harrow the harrow news
411,kenora the holidayer
412,petrolia&lambton the independent
413,petrolia the independent
414,bobcaygeon the kawartha promoter
415,kincardine the kincardine independent
416,lanark%20highlands&lanark the lanark era
417,morrisburg the leader
418,richmond%20hill&thornhill the liberal
419,thornhill the liberal
420,canada the lights of homeland
421,lindsay the lindsay post
422,london the londoner
423,meaford the meaford independent
424,midland&%20penetanguishene the mirror
425,midland&penetanguishene the mirror
426,newmarket the month ahead
427,clarence-rockland the musketeers journal
428,hanover the post
429,vankleek%20hill&hawkesbury the review
430,haldimand the sachem
431,cfb%20north%20bay the shield/le bouclier
432,port%20perry&uxbridge the standard
433,elliot%20lake the standard
434,stayner the sun
435,wasaga&stayner the sun
436,minden the times
437,beeton&new%20tecumseth the times of new tecumseth
438,tweed the tweed news
439,uxbridge the uxbridge cosmos
440,barry's%20bay the valley gazette
441,kapuskasing the weekender
442,rainy%20river the westend weekly
443,wiarton the wiarton echo
444,chatham this week
445,sault%20ste.%20marie this week
446,toronto thoi bao
447,toronto thornhill post
448,thorold thorold niagara news
449,thunder%20bay thunder bay source
450,tilbury tilbury times
451,chatham tilbury/wheatley this week
452,tilbury tilbury/wheatley this week
453,exeter times advocate
454,exeter times advocate weekender
455,simcoe times reformer
456,geraldton times star
457,timmins timmins times
458,mildmay town & country crier
459,glencoe transcript/free press
460,campbellford trent hills independent
461,trenton trentonian
462,west%20nipissing tribune
463,hawkesbury tribune express
464,ohsweken turtle island news
465,hagersville&six%20nations two row times
466,uxbridge uxbridge timesjournal
467,vaughan vaughan citizen
468,vaughan vaughan weekly
469,toronto village post
470,rockland vision
471,pelham voice of pelham
472,wasaga wasaga sun
473,waterloo waterloo chronicle
474,sioux%20lookout wawatay news
475,exeter weekender timesadvance
476,king weekly
477,st.%20thomas&elgin weekly news
478,king%20township weekly sentinel
479,orono weekly times
480,fergus wellington advertiser
481,wellington wellington times
482,arnprior west carleton review
483,west%20carleton west carleton review
484,muskoka whats up muskoka
485,whitby whitby this week
486,mississauga wiadomosci
487,wiarton wiarton echo
488,hornepayne wicksteed weekly
489,winchester winchester press
490,wingham wingham advance times
491,toronto york  city centre neighbourhood voice
492,york york guardian
