,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population percentage change, 2011 to 2016",Age & Sex / Both sexes / Average age of the population ; Both sexes,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",NofID2,MeanMarketRate
1968,northumberland today.com,3806.0,1.12,118.0,353.0,10.0,301.0,3.0,2013-01-01,2012.0,1.0,Friday,3806.0,1.198,118.0,353.0,northumberland today,both,,[nan],,Friday,8389.0,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,1816.0,ON,10205.0,sun media corporation,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,8389.0,1816.0,10205.0,Thursday,left_imperfect_match,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.834919385216395,1.5686159179138452,3.817712325956905,10.496399947300228,6.7226297948554485,1,1.198
0,,,,,,,,,2013-01-01,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2013.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,35,ON,43,Simcoe,42,Barrie,11.859595526567887,1.589235205116581,3.686376323895818,10.426202220694533,9.87822102528824,2,3.41
245,belleville news,23146.0,1.47,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,23146.0,1.47,335.0,1160.0,belleville news,both,,[nan],,Thursday,24279.0,T,belleville,belleville news,metroland media group ltd.,0.0,ON,24279.0,metroland media group ltd.,"['belleville ,ON, Canada']","[(44.1633264, -77.3852556)]",,,,,,1.0,belleville,0.0,0.0,1,Belleville,2013.0,0.0,24279.0,0.0,24279.0,Thursday,perfect_match,39,30,0,1,0,1,0,0,0,0,0,0,0,['Hastings'],0,1,1,2189,3512005,35,ON,12,Hastings,5,Belleville,10.834016439096796,1.2809338454620642,3.7932394694381792,10.3307793818704,8.721113147762688,2,1.795
291,,,,,,,,,2013-01-01,,,,,,,,bradford west gwillimbury times,,,[nan],,Thursday,13042.0,T,bradford,bradford west gwillimbury times,sun media corporation,0.0,ON,13042.0,sun media corporation,"['bradford ,ON, Canada']","[(44.1171265, -79.5560133)]",,,,,,1.0,bradford,0.0,0.0,1,Bradford West Gwillimbury,2013.0,0.0,13042.0,0.0,13042.0,Thursday,right_only,48,38,0,1,0,1,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2387,3543014,35,ON,43,Simcoe,14,Bradford West Gwillimbury,10.472374515715389,3.288401887516811,3.6454498961866,10.505204516490187,8.432941638968646,2,1.37
322,brantford brant news,48334.0,2.53,335.0,1160.0,6.0,190.0,5.0,2013-01-01,2012.0,1.0,Thursday,48334.0,2.53,335.0,1160.0,brantford brant news,both,,[nan],,Thursday,48220.0,T,brantford,brant news,metroland media group ltd.,0.0,ON,48220.0,metroland media group ltd.,"['brantford ,ON, Canada']","[(43.1408157, -80.2631733)]",,,,,,1.0,brantford,0.0,0.0,1,Brantford,2013.0,0.0,48220.0,0.0,48220.0,Thursday,perfect_match,53,41,0,1,0,1,0,0,0,0,0,0,0,['Brant'],0,1,1,2285,3529006,35,ON,29,Brant,6,Brantford,11.487576887281786,1.62924053973028,3.7328963395307104,10.361639982923299,9.24048152888817,2,2.53
369,brockville st. lawrence news,,,,,10.0,189.0,10,2013-01-01,2012.0,2.0,Thursday,,,,,brockville st. lawrence news,both,,[nan],,Thursday,28135.0,T,brockville,st. lawrence news,metroland media group ltd.,0.0,ON,28135.0,metroland media group ltd.,"['brockville ,ON, Canada']","[(44.5895925, -75.6843332)]",st. lawrence news,,,,,1.0,brockville,0.0,0.0,1,Brockville,2013.0,0.0,28135.0,0.0,28135.0,Thursday,right_only,58,46,0,1,0,1,0,0,0,0,0,0,0,['Leeds and Grenville'],0,1,1,2159,3507015,35,ON,7,Leeds and Grenville,15,Brockville,9.9686664935611,,3.8607297110405954,10.278184126972656,7.86172707782398,1,
592,northumberland news,22752.0,2.55,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Friday,22752.0,2.55,335.0,1160.0,cobourg port hope colborne northumberland news,both,,[nan],,Friday,22799.0,T,cobourg&port%20hope&colborne,northumberland news,metroland media group ltd.,0.0,ON,22799.0,metroland media group ltd.,"['cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",,,,,,0.0,cobourg port hope colborne,0.0,0.0,1,Cobourg,2013.0,0.0,22799.5,0.0,22799.5,Friday,perfect_match,92,70,0,1,0,1,1,1,1,0,1,1,1,"['Northumberland', 'Northumberland', 'Northumberland']",0,1,1,2208,3514021,35,ON,14,Northumberland,21,Cobourg,9.87513951702064,1.791759469228055,3.914021008090819,10.422013452928306,7.983098940710892,2,1.8739999999999999
636,collingwood enterprise bulletin,17041.0,0.98,186.0,309.0,10.0,287.0,3.0,2013-01-01,2012.0,1.0,Friday,17041.0,0.98,186.0,309.0,collingwood enterprise bulletin,both,,[nan],,Friday,18067.0,B,collingwood,enterprise bulletin,sun media corporation,322.0,ON,18389.0,sun media corporation,"['collingwood ,ON, Canada']","[(44.5027226, -80.2172379)]",enterprise bulletin,,,,,1.0,collingwood,0.0,0.0,1,Collingwood,2013.0,0.0,9038.0,776.0,9814.0,Friday,perfect_match,95,72,1,1,1,1,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2393,3543031,35,ON,43,Simcoe,31,Collingwood,9.989389981536831,2.6602595372658615,3.856510295497887,10.38021850253129,8.259975659768276,2,1.57
590,northumberland news,22752.0,2.55,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Friday,22752.0,2.55,335.0,1160.0,cobourg port hope colborne northumberland news,both,,[nan],,Friday,22799.0,T,cobourg&port%20hope&colborne,northumberland news,metroland media group ltd.,0.0,ON,22799.0,metroland media group ltd.,"['cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",,,,,,0.0,cobourg port hope colborne,0.0,0.0,1,Cramahe,2013.0,0.0,22799.5,0.0,22799.5,Friday,perfect_match,92,70,0,1,0,1,1,1,1,0,1,1,1,"['Northumberland', 'Northumberland', 'Northumberland']",0,1,1,2205,3514014,35,ON,14,Northumberland,14,Cramahe,8.757154527656606,1.7227665977411035,3.8110970868381857,10.393324445863634,6.415096959171596,2,1.8739999999999999
931,fort erie times,11985.0,0.74,88.0,206.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Saturday,11985.0,0.74,88.0,206.0,fort erie times,both,,[nan],,Saturday,12168.0,T,fort%20erie,fort erie times,sun media corporation,15.0,ON,12183.0,sun media corporation,"['fort erie ,ON, Canada']","[(42.91308, -78.918611)]",,,,,,1.0,fort erie,0.0,0.0,1,Fort Erie,2013.0,0.0,12168.0,15.0,12183.0,Saturday,perfect_match,149,109,1,1,1,1,0,0,0,0,0,0,0,['Niagara'],1,0,1,2268,3526003,35,ON,26,Niagara,3,Fort Erie,10.33237617558788,1.252762968495368,3.8501476017100584,10.328493815851127,8.125926802707886,2,0.74
2883,stirling northeast emc,11559.0,1.13,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,11559.0,1.13,335.0,1160.0,stirling northeast emc,both,,[nan],,Thursday,11564.0,T,stirling&northeast,stirling northeast emc,metroland media group ltd.,0.0,ON,11564.0,metroland media group ltd.,"['stirling ,ON, Canada', 'northeast ,ON, Canada']","[(44.2962217, -77.5473774), (46.2897445, -81.40476769489881)]",,,,,,0.0,stirling northeast,0.0,0.0,1,Greater Sudbury / Grand Sudbury,2013.0,0.0,11564.0,0.0,11564.0,Thursday,perfect_match,475,366,0,1,0,1,0,0,0,0,0,0,0,"['Hastings', 'Greater Sudbury / Grand Sudbury']",0,1,1,2512,3553005,35,ON,53,Greater Sudbury / Grand Sudbury,5,Greater Sudbury / Grand Sudbury,11.992458544432093,0.5877866649021191,3.765840495250065,10.542627232264719,10.031044885951003,4,1.8
1165,,,,,,,,,2013-01-01,,,,,,,,hamilton niagara kitchener welland le regional,,,[nan],,Wednesday,4164.0,B,hamilton&niagara&kitchener&welland,le regional,altomedia inc.,76.0,ON,4240.0,altomedia inc.,"['hamilton ,ON, Canada', 'niagara ,ON, Canada', 'kitchener ,ON, Canada', 'welland ,ON, Canada']","[(43.2560802, -79.8728583), (43.0631891, -79.3098089), (43.451291, -80.4927815), (42.9922181, -79.2484192)]",le regional,,,,,0.0,hamilton niagara kitchener welland,0.0,0.0,1,Hamilton,2013.0,0.0,4164.0,76.0,4240.0,Wednesday,right_only,181,133,1,1,1,1,1,1,0,0,0,0,1,"['Hamilton', 'Niagara', 'Waterloo', 'Niagara']",0,0,0,2206,3514019,35,ON,14,Northumberland,19,Hamilton,9.300455261418444,1.1631508098056809,3.817712325956905,10.572982204430845,7.255591274253665,9,1.8800000000000001
5,,,,,,,,,2013-01-01,,,,,,,,Innisfil Examiner,,,[nan],,,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,0.0,1.0,1,Innisfil,2013.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2389,3543017,35,ON,43,Simcoe,17,Innisfil,10.506901473323946,2.5416019934645457,3.730501128804756,10.464844680601267,8.156510226079966,3,1.385
1436,kingston emc,44717.0,1.41,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,44717.0,1.41,335.0,1160.0,kingston emc,left_only,,['Kingston'],,Thursday,,,,,,,,,,,,,,,,,0.0,,,,1,Kingston,,,,,,,left_only,225,167,0,0,0,0,0,0,0,0,0,0,0,['Frontenac'],0,0,0,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.726414561655583,0.3364722366212129,3.768152635008444,10.464102840804633,10.251535389774341,3,2.665
1168,,,,,,,,,2013-01-01,,,,,,,,hamilton niagara kitchener welland le regional,,,[nan],,Wednesday,4164.0,B,hamilton&niagara&kitchener&welland,le regional,altomedia inc.,76.0,ON,4240.0,altomedia inc.,"['hamilton ,ON, Canada', 'niagara ,ON, Canada', 'kitchener ,ON, Canada', 'welland ,ON, Canada']","[(43.2560802, -79.8728583), (43.0631891, -79.3098089), (43.451291, -80.4927815), (42.9922181, -79.2484192)]",le regional,,,,,0.0,hamilton niagara kitchener welland,0.0,0.0,1,Kitchener,2013.0,0.0,4164.0,76.0,4240.0,Wednesday,right_only,181,133,1,1,1,1,1,1,0,0,0,0,1,"['Hamilton', 'Niagara', 'Waterloo', 'Niagara']",0,0,0,2290,3530013,35,ON,30,Waterloo,13,Kitchener,12.359750356382381,2.0014800002101243,3.6888794541139363,10.449323113491568,10.647470422798568,4,2.9333333333333336
2556,,,,,,,,,2015-01-01,,,,,,,,snap 1000 islands,,,[nan],,Monthly,7000.0,T,1000%20islands&brockville,snap 1000 islands,snapd inc.,0.0,ON,7000.0,snapd inc.,"['1000 islands ,ON, Canada', 'brockville ,ON, Canada']","[(44.4318712, -75.8853212), (44.5895925, -75.6843332)]",,,,,,0.0,1000 islands brockville,0.0,0.0,1,Leeds and the Thousand Islands,2015.0,0.0,7000.0,0.0,7000.0,Monthly,right_only,415,308,0,1,0,1,1,1,0,0,0,0,1,"['Leeds and Grenville', 'Leeds and Grenville']",0,0,0,2161,3507021,35,ON,7,Leeds and Grenville,21,Leeds and the Thousand Islands,9.155461710466193,1.0986122886681098,3.8522730010223722,10.48885462591948,7.069874128458572,1,
1544,london community news,,2.15,335.0,1160.0,10.0,175.0,10.0,2013-01-01,0.0,2013.0,Thursday,,2.15,335.0,1160.0,london community news,both,,[nan],,Thursday,132000.0,B,london,london community news,metroland media group ltd.,0.0,ON,132000.0,metroland media group ltd.,"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,0.0,132000.0,0.0,132000.0,Thursday,perfect_match,247,183,0,1,0,1,0,0,0,0,0,0,0,['Middlesex'],0,1,1,2350,3539036,35,ON,39,Middlesex,36,London,12.857936787805519,1.7578579175523736,3.7256934272366524,10.392067567354799,11.291979497199506,4,2.545
